Pet Name,Pet Birthday,Report AddedOn,Report EditOn,Report Temp,Report Reason,Report History,Report Examination,Report DiagnosticImaging,Report Lab,Report Diagnosis,Report Treatment,Report Plan,Report Prescription,Report Advice,Report Assessment,Report vitals,Report Note,Report Weight,Report WeightUnit,VisitExam ExaminationId,VisitExam ReportsId,VisitExam AddedOn,VisitExam Mentation,VisitExam Posture
Reteriver,2018-05-07,2025-05-07T19:13:00.000,2025-05-29T16:17:28.660,,-Ear itching,,,,,,"- Enrofloxacin inj
- Chlropheniramine malaete inj
- Clean the ear with Salcy Ear cleanser with cipro drop",,"- Clavum/ Enclave 625 mg tablet
one tablet twice a day after meal for 7 days.

- Fexofenadine 120 mg
one tablet once a day after meal for 7 days",,,,- Recovered 29 May 2025 From phone call,,Kg,334.0,469.0,2025-05-07T19:22:25.087,,
catch,2022-05-07,2025-05-06T08:30:00.000,,,- Lethargic,,,,,- Renal issue,,,,,,,- Prognosis: Poor,,Kg,335.0,470.0,2025-05-07T19:31:07.400,,
catch,2022-05-07,2025-05-07T19:31:00.000,,,,,,,,,,,,,,,,,,,,,,
Kali,2021-05-09,2025-05-07T07:14:00.000,,,,,,,,,,,,,,,,,,,,,,
Kalu,2023-05-10,2025-05-09T18:14:00.000,,100,"- Dyspnoea
- Hit and Run case",,,,- Low PCV with high TLC count,,,,"- RL SALINE INJ
- CEFTRIAXONE INJ
- RANITIDINE INJ
-MELOXICAM INJ",,,,,,Kg,336.0,473.0,2025-05-10T18:16:46.813,,
Pluto/Punti,,2025-05-09T10:00:00.000,,102,- blood in stool,,,,- CBC: Normal findings,-? Hemorrhagic Gastroenteritis,"- Raniapet inj
- Omitron pet inj",,"- Gutwell
one tsp twice a day for 14 days after or with meal",,,,,8.0,Kg,337.0,474.0,2025-05-10T18:23:29.587,,
Pluto/Punti,,2025-05-09T18:23:00.000,,,,,,,,,,,,,,,,,,,,,,
khaire,2023-05-10,2025-05-09T10:30:00.000,2025-05-11T18:55:19.270,104,-Lethargic,- Presence of ticks and flea,,,- Ehrlichia,-Ehrlichiosis,"9th May 2025
-OTC inj
- Ranivapet inj
- Curadex pet inj
10th May 2025
OTC INJ

11th may 2025
otc 3 ml inj SC",,"- Doxycycline 100 mg
one capsule twice a day for 30 days after meal

- Gutwell
one tsp twice a day after meal or with meal cont...",,,,,,Kg,338.0,476.0,2025-05-10T18:32:34.707,,
khaire,2023-05-10,2025-05-09T18:32:00.000,,,,,,,,,,,,,,,,,,,,,,
Billi,2019-04-24,2025-05-08T09:49:00.000,,,-Fever not controlled,"-Disease was not diagnosed
- Snap test and Blood smear doesnot shows any parasite
- Doxycycline capsule was removed and its poweder was administered orally (It may affects in dose)",,,,,"- Melox inj
- Ranivapet inj",,,- Repeat CBC,,,,,Kg,339.0,478.0,2025-05-11T09:59:20.410,,
Billi,2019-04-24,2025-05-08T18:00:00.000,,,,,,,,,,,,,,,,,,,,,,
CoCo,2024-08-28,2025-05-12T18:06:00.000,,,"- Limping
- Right Hind limb",,,,,,- Melox inj,,"- Melowin
one tablet 48 hour interval after food for 2 days",,,,,2.5,,340.0,480.0,2025-05-13T12:07:48.260,,
Bella,2022-05-16,2025-05-16T14:05:00.000,,,,,,,,,,,,,,,,,,,,,,
Cross Shepherd,2023-05-16,2025-05-16T14:21:00.000,,,,,,,,,,,,,,,,,,,,,,
SIRU,2020-05-16,2025-05-16T14:24:00.000,,,,,,,,,,,,,,,,,,,,,,
Phuche,2025-05-18,2025-05-17T10:29:00.000,,,,,,,,,,,,,,,,,,,,,,
cat,2025-05-18,2025-05-18T20:31:00.000,,,,,,,,,,,,,,,,,,,,,,
puku,2014-07-10,2025-05-16T10:35:00.000,,,"-skin problem
- otitis","-Previously treated with my skin spray
- oral antibiotics",,,,"-Atopic Dermatitis
-Aspergilosis from ear",,,"- Itraconazole 200 mg
One tablet once a day after meal for 14 days

- Pantaprazole 20 mg tablet
One tablet at empty stomach for 14 days

-My skin spray 
Apply on affected area twice a day

-candid ear drop
On affected ear",,,,,9.0,Kg,341.0,486.0,2025-05-19T10:51:32.273,,
Dorje,2024-05-20,2025-05-19T10:23:00.000,,,"-Hiarfall
-Coughing",,,,,-?Infectious Bronchitis,-OTC inj,,,"- Follow up cont. for 2 days.
- Blood test (cbc)",,,,,Kg,342.0,487.0,2025-05-20T10:24:26.997,,
Luna,2025-04-05,2025-05-19T16:41:00.000,2025-08-13T18:49:41.113,,"- Vomition
-Diarrhoea",- PHC Vaccine 4 days ago,,,-FPV Snap test: Panleukopenia positive,-Feline Panleukopenia,,,,,,,Guarded,,Kg,343.0,488.0,2025-05-20T10:42:54.537,,
Leo,2024-01-30,2025-05-20T19:35:00.000,2025-05-22T19:55:59.930,,-Anorexia,- History of E canis,,,"Ehr- Ana- Bab Snap test
E canis positive",Ehrlichiosis,- Oxytetracycline inj for 3 days,,"-Doxycycline 100 mg capsule
Three capsule once a day after meal for 1 month

- Pantaprazole 20 mg tablet
one tablet once a day at empty stomach for 1 month

- Hepasupport Tablet/  Canitone Liver Support
one tablet twice a day after meal for 1 month",,,,,25.0,Kg,344.0,489.0,2025-05-20T19:36:35.963,,
Rio,2025-02-20,2025-05-20T19:44:00.000,,,-Coprophagia,,,,,,,,,"-Spent quality time with him
-Give Proper nutritious food on time (Regular basis)",,,,,Kg,345.0,490.0,2025-05-20T19:45:56.067,,
CoCo,2022-05-20,2025-05-20T19:48:00.000,,,- Polydypsia,,,,,,,,,-CBC,,,,,Kg,346.0,491.0,2025-05-20T19:48:55.497,,
CoCo,2025-05-21,2025-05-20T15:36:00.000,2025-05-21T09:39:17.127,,-Loose motion with Slight blood mixed,,,,"Stool test:
Fat cells : Plenty
Coccidia seen",,,,"- Protogyl DF suspension
2 ml twice a day for 5 days after meal

- Gutwell
one spoon twice a day with meal for 14 days",,,,,,Kg,347.0,492.0,2025-05-21T09:38:39.863,,
CoCo,2024-08-28,2025-05-21T10:27:00.000,,101,"-Vomition
-Diarrhoea",,,,FPV snap test: Feline Panleukopenia Positive,-Feline Panleukopenia,"-NS Saline
-Ranipet inj
-Omitronpet inj
-Metvet inj
-Ceftapet inj",,,,,,,2.5,,348.0,493.0,2025-05-21T19:28:47.187,,
Bella,2024-10-22,2025-05-22T17:48:00.000,2025-05-23T19:21:38.620,,"- Frequent stool
- Stool:  Different color of stool on each time
Blackish
Yellow
Mucus attached","Food History
-Biscuit and Milk
- Cauliflower, Chicken Liver and meat mixed with rice
-Sausage ocassionally",,,,,,,"- Gutwell
one spoon twice a day with meal for 5 days.

- VET PRO GASTROINTESTINAL Wet Food
Half packet twice a day with meal for 3 days.

-SOFT COAT
5 ml twice a day after or with meal",-CBC,,,,,Kg,349.0,494.0,2025-05-22T17:53:19.753,,
Bella,2024-10-22,2025-05-23T19:18:00.000,,,,,,,,,,,,,,,,,,,,,,
Leo,2024-01-30,2025-05-20T07:31:00.000,,,,,,,,,,,,,,,,,,,,,,
Leo,2024-01-30,2025-05-20T07:33:00.000,,,,,,,,,,,,,,,,,,,,,,
CoCo,2022-05-20,2025-05-20T07:41:00.000,,,,,,,,,,,,,,,,,,,,,,
Jasper,2024-04-16,2025-05-25T19:17:00.000,,,- Dog bite,,,,,,- Melox inj,,"- Melowin tab
one tablet once a day after meal for 4 days

- Simparica Tablet
Half tablet first month and Half tablet next month",,,,,,Kg,350.0,499.0,2025-05-25T19:18:18.090,,
Blue,2025-02-25,2025-05-25T10:19:00.000,,101,-Restlessness,,,,"-CDV AG TEST:NEGATIVE
-Stool test: Giardia cyst seen",-Giardiasis,,,"- Metron(5ml=200mg)
2ml thrice a day after meal for 5 days

-Enterohepatic
1 packet once a day after or with meal for 3 days

-Tricaine
5 ml twice a day per orally at empty stomach",,,,,,Kg,351.0,500.0,2025-05-25T19:22:41.977,,
Puku,2025-05-25,2025-05-25T19:55:00.000,,,"-General Check up
-Adopted",,,,,? Seborrhoeic Dermatitis,,,"- Sheen and kleen shampoo
Bath once  a week

- Q liv pet 
5 ml twice a day after or with meal for 30 days",,,,,,Kg,352.0,501.0,2025-05-25T19:57:22.060,,
Cat,2025-04-26,2025-05-26T16:34:00.000,,,"-Right eye infection
-Eyeball Protruded
-Pus discharge from Righteye","- No history of Vaccination
-Deworming not done",,,,,,,,,,,,,Kg,353.0,502.0,2025-05-26T16:38:55.163,,
Rome,2025-05-28,2025-05-28T17:39:00.000,,,- Tumor,,,,,,,,"-Clavum 375 mg Tablet
One tablet twice a day after meal for 5 days",,,,,,Kg,354.0,503.0,2025-05-28T17:41:43.793,,
shelly,2022-05-28,2025-05-28T18:11:00.000,,,"Itching
Hairfall","Food History
-meat chicken and rice
-Bone",,,,,"-Ivermectin inj
-Chlropheniramine inj",,"-Ear cleansing with cipro drop

-Soft Coat
5 ml once a day Cont
- CLAVUM/Enclave 375 mg tablet
one tablet twice a day after meal for 7 days

- Fexofenadine 60 mg tablet
one tablet once a day after meal for 7 days","- CBC
- Ear swab culture
- Hypoallegenic diet",,,,,Kg,355.0,504.0,2025-05-28T18:40:37.617,,
Rocky,2025-02-28,2025-05-28T19:18:00.000,,,-Right leg limping,,,,,Right hind limb fracture (Proximal Part),"- MELOXICAM INJ
-ARV INJ",,"- Myskin
Apply on affected area twice a day",,,,,,Kg,356.0,505.0,2025-05-28T19:19:42.433,,
Jumbo,2020-05-29,2025-05-29T16:00:00.000,,103,"- Renal Insufficiency
- Treated Previously with Vet Technician",- History of Flea and Ticks,,,"-Ehr-Ana-Bab Test: E canis and Babesia positive
-Creatinine: 3.54 mg/dl",-Ehrlichiosis and Babesiosis,"-Normal Saline
-Doxycycline inj",,"-Doxycycline 100 mg capsule
Three capsule once a day after meal for 21 days

-Metronidazole 400 mg Tablet
Three tablet once a day after meal for 21 days

-Enrofloxacin 150 mg Tablet
Three tablet once a day after meal for 21 days",-If appetite is good then Oral medication is advised,,,,,Kg,357.0,506.0,2025-05-29T16:04:31.180,,
Bruno,2020-05-29,2025-05-24T16:08:00.000,,,,,,,,,,,,,,,,,,,,,,
Bruno,2020-05-29,2025-05-29T10:10:00.000,,,"- Lethargic
- Difficult to walk",,,,,,- Chlropheniramine malaete inj,,"- Lvitone suspension
10 ml once a day after meal for 20 days",,,,,,Kg,358.0,508.0,2025-05-29T16:11:11.100,,
Fungfung,2025-02-28,2025-05-28T16:20:00.000,2025-05-29T16:22:24.770,,,,,,,,,,,,,,,,,,,,,
Michal,2015-10-19,2025-05-28T10:27:00.000,2025-07-02T18:06:22.533,,- Skin Problem,,,,"-Skin Scrapping test: Mange parasite not seen
-Aural Culture: Staphylococcus seen",,"- Anti tick and Flea medication tablet
- Fluconazole inj
- Stacef inj
- Rabeprazole inj",,"- Enrofloxacin tablet 150 mg
Three tablet once a day after meal for 30 days

- Rabeprazole 20 mg tablet
one tablet once a day at empty stomach for 30 days

- Itraconazole 200 mg (2nd July, 2025)
One tablet twice a day per orally after meal for 30 days

- My skin Lotion
Apply on affected area thrice a day for 30 days

-Vet pro Hypoallergenic
200 gm twice a day for 30 days

- Cipro drop
As directed by Vet",,,,,28.0,Kg,359.0,510.0,2025-05-29T16:27:42.363,,
haku,2024-01-31,2025-05-30T08:31:00.000,,104.1,-Anorexia since 2 days,"- Flea
- Ticks Negative
- Vaccination Complete",,,"- Ehr Ana Bab Snap Test: Negative
- CDV Ag test: Positive",- Canine Distemper,,,"-Enrofloxacin 150 mg tablet
Two tablet once a day after meal for 14 days

- Lavitone
10 ml once a day after meal or with meal for 20 days",,,,Prognosis: Poor,15.9,Kg,360.0,511.0,2025-05-30T09:14:00.923,"Bright, Alert & Responsive (BAR)",
Bruno,2024-03-30,2025-05-30T21:11:00.000,2025-05-31T12:43:33.583,102.7,"- Heavy Panting
- Hair fall",-No Fleas and Ticks,,,CDV Ag test:  Negative,,-cadistin inj,,"-Doxycycline 100 mg capsule
One capsule once a day after meal for 14 days

-Rabeprazole 20 mg tablet
One tablet once a day at empty stomach for 14 days",,,,,,Kg,361.0,512.0,2025-05-30T21:27:00.730,,
Bruno,2024-03-30,2025-05-31T16:21:00.000,,,,,,,,,,,,,,,,,,,,,,
Michal,2015-10-19,2025-06-01T10:32:00.000,,,,,,,,,,,,,,,,,,,,,,
Jasper,2023-06-01,2025-06-01T13:03:00.000,,,,,,,,,,,,,,,,,,,,,,
Jasper,2023-06-01,2025-06-01T13:07:00.000,,,,,,,,,,,"- Prazigon tablet
Five tablet on Day one and then repeat same dose (5tablet) after 7 days

Metron DF 500 mg
One tablet twice a day after meal per orally for 5 days

-Q liv pet
10 ml twice a day after meal per orally for 20 days",,,,,,Kg,362.0,518.0,2025-06-01T13:11:38.203,,
Max,2025-02-01,2025-06-01T13:45:00.000,,,"-Hematuria
- Anorexia",,,,,?UTI,,,"- Clavum/Enclave (5ml =200mg)
0.6 ml twice a day after meal for 5 days per orally",,,,,,Kg,363.0,519.0,2025-06-01T13:46:44.890,,
Dipsa,2022-06-01,2025-06-01T17:07:00.000,2025-06-01T17:17:43.633,102,"-Vomition six times
-Hematemesis
-Loose stool (Blood Mixed)","- Grass Ingested
-No History of ticks and fleas",,X ray image: NAD,- Stool test: Roundworm seen,- HGE due to worm infestation,"-Raniva inj
-Omitron inj",,"- Protogyl DF
2.5 ml twice a day after meal per orally for 5 days",- If Vomiting continues and apetite is decreased then IV Fluid is advised,,,,,Kg,364.0,520.0,2025-06-01T17:11:01.263,,
Leo,2024-01-30,2025-06-01T18:11:00.000,,,-Vomition,,,,,,"-Raniva inj
-Omitron inj",,,,,,,25.0,Kg,365.0,521.0,2025-06-01T18:11:51.663,,
Dog,2020-06-02,2025-06-01T09:35:00.000,,,- wound at the side of ear,,,,,-otitis,"-Enro inj
-cadistin inj",,-,E collar and antibiotic administer,,,,,Kg,366.0,522.0,2025-06-02T09:36:48.890,,
Ronnie,2022-04-20,2025-06-03T10:33:00.000,,102.7,-Pinpoint hemorrhage in gums,,,,-Ehr Ana Bab Test:  E canis Positive,Ehrlichiosis,"-Ab inj
- Antacid inj",,"- Doxycycline 100 mg capsule
One capsule twice a day after meal for 30 days after meal.

- Rabeprazole 20 mg tablet
One tablet once a day at empty stomach for 30 days

- Silytek
10 mL once a day

- Platogrow
5 mL once a day",,,,,12.0,Kg,367.0,523.0,2025-06-03T10:38:48.420,,
Ronnie,2022-04-20,2025-06-03T10:39:00.000,,,,,,,,,,,,,,,,,,,,,,
Ronnie,2022-04-20,2025-06-03T10:48:00.000,,,,,,,,,,,,,,,,,,,,,,
Popcorn,2020-07-02,2025-06-01T10:52:00.000,2025-06-03T10:54:20.610,,"-Polydypsia
-Polyuria",-Hypothyroidism,,,"-Hypoglycemia 
-Hypothyroidism",,,,,,,,,25.0,Kg,368.0,526.0,2025-06-03T10:54:02.747,,
Popcorn,2020-07-02,2025-06-03T10:54:00.000,,,,,,,,,,,,,,,,,,,,,,
Popcorn,2020-07-02,2025-06-02T10:56:00.000,,,,,,,,,,,,,,,,,,,,,,
tashi,2024-11-11,2025-06-04T16:47:00.000,,,,,,,,,,,,,,,,,,,,,,
Lucy,2013-06-07,2025-06-07T21:46:00.000,,,,,,,,,,,,,,,,,,,,,,
Leo,2024-01-30,2025-06-05T21:49:00.000,,,,,,,,,,,,,,,,,,,,,,
Jack,2022-06-08,2025-06-07T11:19:00.000,2025-06-08T18:22:20.167,101.7,- Epistaxis from left nose,"- History of E canis month ago
- Doxycycline 100 mg capsule was given twice a day (Insufficient dose)
- Treated by Vet Tech",,,"Pcv: 17
Snap test: Ecanis with Anaplasma positive",- Ehrlichiois and Anaplasmosis,"- Ab inj for 3 days SC
- Ranipet inj once
-Anti-inflammatory inj once",,"From June 10 2025
-Doxycycline 100 mg
Three capsule once a day after meal per orally for 30 days 

- Rabeprazole / Pantaprazole 20 mg tablet
one tablet once a day at empty stomach per orally for 30 days",,,,,,Kg,369.0,532.0,2025-06-08T11:23:43.500,,
Jack,2022-06-08,2025-06-08T11:23:00.000,,,,,,,,,,,,,,,,,,,,,,
Na Na,2023-06-08,2025-06-08T11:27:00.000,,,,,,,,,,,,,,,,,,,,,,
Jumbo,2020-05-29,2025-06-08T13:43:00.000,,,,,,,,,,,,,,,,,,,,,,
Jony,2024-07-10,2025-06-10T07:18:00.000,,,- Fall Injury,,,- X ray: NAD,,,- Analgesic inj,,,,,,,,Kg,370.0,536.0,2025-06-10T07:19:59.197,,
Juli,2024-10-10,2025-06-09T19:21:00.000,2025-06-17T00:00:40.753,,"- Otitis
- Itching",,,,"- Ear swab culture : Aspergillus (Fungal growth; PDA) 16 JUNE 2025
- Ear Swab Smear: NAD",- Otitis,- Anti itching inj,,"17 June, 2025
- Cleanse ear with salicylic acid cleanser and apply clotrimazole ear drop

- Hypoallergenic diet
As advised by vet

Itraconazole 200 mg tablet
One tablet once a day after meal for 14 days",,,,,8.5,Kg,371.0,537.0,2025-06-10T07:23:11.667,,
dobermann,2021-10-18,2025-06-10T07:24:00.000,,,- Lethargic,,,,,,,,,"- Soft Coat
10 ml once a day for 3 month
- Simparica Tablet
one Tablet",,,,25.0,Kg,372.0,538.0,2025-06-10T07:27:12.787,,
Jumbo,,2025-06-11T16:28:00.000,2025-06-12T16:46:09.923,,- Polyuria,,,,"- Hypoglycemia
- High urea level  and Creatinine is in upper limit (May be due to muscle wasting)",Malnourished,,,"<p><strong>Daily Homemade Diet Plan</strong>&nbsp;</p>
<p>1. Boiled chicken breast 100 g</p>
<p>2. Cooked egg whites 2&nbsp;</p>
<p>3. White rice (cooked) 225 gm</p>
<p>4. Potato (boiled) 100 GM</p>
<p>5. Carrot (boiled or steamed) &frac14; cup</p>
<p>6. Supplement (Soft Coat 10 ml)</p>
<p>7. Add Pumpkin or yogurt</p>
<p><strong>Feeding Tips</strong></p>
<p>Split meals into 2&ndash;3 portions per day to reduce GI load. Adjust rice/sweet potato to maintain or gain weight. Monitor hydration &mdash; ensure fresh water is always available.</p>",,,,,,Kg,373.0,539.0,2025-06-12T16:37:55.463,,
Jumbo,,2025-06-11T16:38:00.000,,,,,,,,,,,,,,,,,,,,,,
Popcorn,2020-07-02,2025-06-12T16:55:00.000,,,,,,,,,,,,,,,,,,,,,,
Lucy,2013-06-07,2025-06-12T18:30:00.000,,,,,,,,,,,,,,,,,,,,,,
Spot,2015-06-13,2025-06-13T20:13:00.000,2025-06-14T16:50:46.143,,-Anorexia since 5 days,,,,"-Renal insufficiency
- E. Canis and Babesia positive",,"-Normal saline
-Antiemetic inj
-Antibiotic inj",,,Prognosis:Poor,,,,,Kg,374.0,543.0,2025-06-13T20:14:08.527,,
Spot,2015-06-13,2025-06-14T12:59:00.000,,,,,,,,,,,,,,,,,,,,,,
Cooper,2018-06-15,2025-06-14T18:45:00.000,2025-06-16T08:50:40.227,,"-vomition
-Skin Problem","Appetite: Normal
Defecation:Normal
Flea and Ticks: Not seen (given Bravecto 2 months ago)
Diet history:
Rice pumpkin, carrot,chicken meat
Dog bath: 2 to 3 weeks
3 years ago botulism was treated at vet for your pet
History of E canis (Recovered)
Recently treated with prednisolone 2 times a day for kennel cough at Hetauda",,,,"? Digestive issues
? Liver or renal insufficiency
? Viral
( blood test might reveal further details)",,,Prescription and further advise will be given after blood test,"CBC , Liver function and Kidney Function with Glucose (R)",,,,,Kg,375.0,545.0,2025-06-15T09:14:11.840,,
Jack,2022-06-08,2025-06-15T17:00:00.000,,,,,,,,,,,,,,,,,,,,,,
Brandy,2020-04-30,2025-06-14T09:08:00.000,,,-Itching,"-Presence of ticks
Veggies (gheraula, Farsi, cauliflower) and meat with rice , one tsp flax seed powder (added turmeric):Morning routine
4 pcs Marie biscuits or Eggs : Evening
Sugar free yogurt and beaten rice: Dinner
Occasionally chicken broth soup",,,,,,,"- Simparica
One tablet once a day

- Glossy coat/ soft coat/ fur glow
10 ml once a day cont.

If itching do not subside
- prednisolone 10 mg tablet
One tablet at 48 hours interval after meal for 5 days 
(E.g Day 1, Day 3, Day 5)",,,,,,Kg,376.0,547.0,2025-06-16T09:23:16.087,,
Bhunti,2018-06-16,2025-06-16T19:24:00.000,,106.3,"- Anorexia
- Dyspnea",,,,,,"- Melox inj
- Frusemide inj",,"- Doxycycline 100 mg capsule
Two capsule twice a day for 5 days after meal

- Pantaprazole DSR 40 mg capsule
one capsule once a day at empty stomach for 5 days",,,,Prognosis: Guarded,36.4,Kg,377.0,548.0,2025-06-16T19:29:03.100,,
Bhunti,2018-06-16,2025-06-16T22:36:00.000,,,,,,,,,,,,,,,,,,,,,,
Cat,2022-06-17,2025-06-16T11:14:00.000,,,"-Bite wound
-Flea infestation",,,,,,-Melox inj,,"My skin lotion
Apply on affected area twice a day cont…","Anti rabies vaccination on
 16, 19, 23 June 2025",,,,,Kg,378.0,550.0,2025-06-17T00:16:32.717,,
Lily,2013-06-17,2025-06-14T15:50:00.000,2025-07-01T21:56:16.090,,Tumor (Papilloma),,,,,,"Autologous Serum (16 June 2025)
Autologous Serum (23 June 2025)
Autologous serum (2nd July 2025)",,,,,,,,Kg,379.0,551.0,2025-06-17T15:51:56.443,,
Jumbo,2020-05-29,2025-06-15T18:50:00.000,2025-06-22T10:01:41.997,,Hind limb paresis,"-E canis and babesia positive
- on medicine (Enrofloxacin, metronidazole and Doxycycline)",,,,,-Dexamethasone 2.5 ml for 7 days,,,,,,"Dexamethasone 2.5 ml was given from 15 June to 22 June, 2025 (Parenteral route)",28.0,Kg,380.0,552.0,2025-06-18T18:52:32.653,,
LUFY,2023-08-29,2025-06-18T10:54:00.000,2025-06-18T18:57:17.997,,Left forelimb wound,-Flea present,,,,,Alprocide spot on,,"My skin
Apply on affected area twice a day cont","-E collar to prevent licking
-If flea does not go away then simparica is advisable",,,,,Kg,381.0,553.0,2025-06-18T18:56:37.777,,
Dipsa,2022-06-01,2025-06-19T11:13:00.000,,,Right hind limb wound,,,,,,"-Ivermectin inj
-Antihistamine inj",,-Alprocide spot on,"-keep e collar to prevent licking
-use antiseptic lotion to prevent infection",,,,,Kg,382.0,554.0,2025-06-19T13:15:13.380,,
Pinto,,2025-06-19T13:26:00.000,2025-06-22T09:42:22.340,,-Anorexia,,,,,-Hepatic insufficiency,"19 June | 20 June| 21 June
Normal Saline
Ab inj
Ranivapet inj",,"Hepa support
One tablet twice a day after meal for 15 days.

Doxycycline 100 mg capsule
One capsule twice a day after meal per orally for 21 days.",,,,,,Kg,383.0,555.0,2025-06-19T13:27:09.990,,
Pinto,,2025-06-19T13:27:00.000,,,,,,,,,,,,,,,,,,,,,,
Cat,,2025-06-14T17:58:00.000,,,,,,,,,Surgically corrected,,,,,,,,Kg,384.0,557.0,2025-06-20T17:58:40.027,,
Rio,2025-02-20,2025-06-22T09:33:00.000,,101,-Loose motion,"-salmon oil 5 ml once a day
-Mud eating habits",,,-Stool test : Giardia and Roundworms seen,,,,"-Prazigon 
One tablet twice a day (Sunday)
One tablet twice a day ( Next Sunday)

-Merton DF Tablet
One tablet once a day for 7 days after meal per orally.

-Q Liv
10 ml once a day Cont.",,,,,11.0,Kg,385.0,558.0,2025-06-22T09:36:41.447,,
Hazel,2024-07-22,2025-06-20T17:50:00.000,,,-Blood test,,,,,,,,,,,,,17.0,Kg,386.0,559.0,2025-06-22T09:50:37.667,,
Hazel,2024-07-22,2025-06-21T09:50:00.000,,,,,,,,,,,,,,,,,,,,,,
BRUNO,2022-11-27,2025-06-22T09:54:00.000,,,,,,,,,,,,,,,,,,,,,,
Husky,2025-05-11,2025-06-21T09:56:00.000,,,,,,,,,,,,,,,,,,,,,,
Bubble,2015-06-22,2025-06-22T10:35:00.000,2025-06-22T17:01:50.090,98,"-Vomition
-Bad breath
-Inappetance",- Flea presence,,,,-Hepatic and Kidney insufficiency,,,,Fluid Therapy is  advised,,,,9.0,Kg,387.0,563.0,2025-06-22T10:48:38.940,,
Bubble,2015-06-22,2025-06-22T16:57:00.000,,,,,,,,,,,,,,,,,,,,,,
Kancha,2015-06-23,2025-06-23T18:49:00.000,2025-06-23T19:21:51.503,100,- Polydypsia,- Presence of flea and ticks,,,,- Renal insufficinecy,"Normal saline
Omitronpet inj
Ranivapet inj",,"-Doxycycline 100 mg capsule
One capsule twice a day for 5 days after meal per orally",,,,,14.4,Kg,388.0,565.0,2025-06-23T18:51:34.950,,
Kancha,2015-06-23,2025-06-23T18:51:00.000,,,,,,,,,,,,,,,,,,,,,,
Jumbo,2020-05-29,2025-06-25T16:04:00.000,,,,,,,,,,,,,,,,,,,,,,
Lucy,2015-06-25,2025-06-24T17:13:00.000,,,-Mammary tumor,,,,,,Surgically removed,,"- Enrofloxacin 150 mg
Two tablets once a day after meal for 5 days

- My skin Lotion
Apply on affected area twice a day",,,,,,Kg,389.0,568.0,2025-06-25T17:15:15.617,,
Lio,2018-06-25,2025-06-25T22:12:00.000,2025-06-25T22:30:28.793,,"-For teleconsultation
-Lethargic","-Blood test was done at Hetauda
- Anemic
- PCV 13% 
-Hemoglobin 4.2 %
-RBC 1.92",,,,,,,,"As the PCV is below 20%, blood transfusion is advised or You can confirm the diagnosis through snap test",,,This is Teleconsultation. It has its own clinical limitations and may require further diagnostic workup.,,Kg,390.0,569.0,2025-06-25T22:19:13.940,,
Husky,2022-06-25,2025-06-25T15:58:00.000,,,,,,,,,,,"- Simparic 10 to 20 kg tablet
- Hepa support
One tablet twice a day after meal for 30 days",,,,,,Kg,391.0,570.0,2025-06-25T22:59:38.767,,
Jumbo,2020-05-29,2025-06-29T18:23:00.000,,,Follow up check up,,,,"PCV 35
Creatinine 0.54 mg/dl","Ehr Ana Bab Test
Positive",,,"-Doxycycline 100 mg capsule
Three capsule once a day after meal for 21 days

-Metronidazole 400 mg Tablet
Three tablet once a day after meal for 21 days

-Enrofloxacin 150 mg Tablet
Three tablet once a day after meal for 21 days

-Prednisolone 10 mg
Monday/ Wednesday/ SATURDAY",,,,,28.0,Kg,392.0,571.0,2025-06-29T18:25:28.090,,
Bhuntu,2014-10-29,2025-06-28T18:39:00.000,,,-Skin problem,,,,,? Folliculits/Pyoderma/FAD,"Curadex Inj
Ivermectin inj",,"- My skin spray
Apply on affected area twice a day Cont…
- Sheen and Kleen shampoo
Bath once a week at affected area",,,,,10.0,Kg,393.0,572.0,2025-06-29T18:42:21.067,,
Sweeti,,2025-06-28T10:44:00.000,,,-Ear problem,,,,,-Otitis,- cadistin inj,,"- My skin lotion
Apply on affected area.

-Itraconazole 200 mg
One tablet once a day for 10 days after meal.

-Candid ear drops",,"29 Jan 2025
Fungal culture (Ear swab): Aspergillus seen",,,,Kg,394.0,573.0,2025-06-29T18:48:27.950,,
Jasper,2024-04-16,2025-06-26T18:49:00.000,,,-Ear drop issue,,,,,,-Cadistin inj,,"-Nerve on tablet
One tablet once a day after meal for 30 days",,,,,,Kg,395.0,574.0,2025-06-29T18:50:26.747,,
Lucky,2023-06-30,2025-06-30T11:00:00.000,,106.1,-Anorexia,"Presence of flea
Recent vaccination 2 month ago",,,"Ehr Ana Bab Test
E canis positive",Ehrlichiosis,"Ab inj
Antipyretic inj",,"Doxycycline 100 mg
Three capsule once a day after meal for 30 days

Enrofloxacin 150 mg
3 tablets once a day after meal for 30 days

Metron 400 mg
Three tablets once a day after meal for 30 days","If vomition is there
Pantaprazole DSR 40 mg
One capsule once a day at empty stomach",,,,28.0,Kg,396.0,575.0,2025-07-01T07:32:03.257,,
Lucky,2023-06-30,2025-06-30T11:32:00.000,,,,,,,,,,,,,,,,,,,,,,
Lucky,2023-06-30,2025-06-30T12:32:00.000,,,,,,,,,,,,,,,,,,,,,,
Lucky,2023-06-30,2025-06-30T18:33:00.000,,,,,,,,,,,,,,,,,,,,,,
